iter	Passed	Remaining
304	1400	3191
305	1404	3184
306	1408	3179
307	1411	3171
308	1416	3168
309	1422	3166
310	1428	3164
311	1432	3158
312	1437	3154
313	1442	3150
314	1448	3150
315	1453	3146
316	1458	3142
317	1462	3135
318	1466	3131
319	1471	3127
320	1476	3122
321	1480	3117
322	1484	3112
323	1489	3107
324	1494	3104
325	1498	3098
326	1503	3094
327	1507	3088
328	1511	3082
329	1516	3078
330	1520	3073
331	1526	3070
332	1530	3065
333	1534	3060
334	1539	3056
335	1543	3049
336	1548	3045
337	1553	3041
338	1556	3035
339	1561	3032
340	1565	3024
341	1569	3019
342	1572	3012
343	1576	3005
344	1580	3000
345	1584	2994
346	1588	2989
347	1596	2992
348	1601	2987
349	1606	2983
350	1609	2976
351	1613	2971
352	1618	2966
353	1624	2963
354	1627	2956
355	1630	2949
356	1634	2943
357	1638	2937
358	1641	2930
359	1647	2929
360	1652	2924
361	1657	2920
362	1661	2915
363	1664	2908
364	1668	2903
365	1673	2898
366	1678	2895
367	1684	2892
368	1688	2888
369	1693	2883
370	1697	2878
371	1702	2873
372	1707	2870
373	1712	2866
374	1716	2860
375	1719	2854
376	1723	2847
377	1727	2842
378	1732	2838
379	1737	2834
380	1743	2832
381	1747	2827
382	1752	2823
383	1756	2816
384	1760	2812
385	1765	2808
386	1769	2803
387	1775	2800
388	1781	2798
389	1785	2792
390	1790	2788
391	1794	2783
392	1798	2777
393	1802	2771
394	1806	2766
395	1811	2762
396	1815	2756
397	1820	2753
398	1826	2751
399	1830	2746
400	1835	2741
401	1840	2737
402	1845	2733
403	1850	2730
404	1855	2725
405	1859	2720
406	1862	2713
407	1867	2709
408	1870	2703
409	1874	2697
410	1880	2694
411	1886	2692
412	1891	2687
413	1896	2684
414	1899	2678
415	1904	2673
416	1908	2668
417	1912	2662
418	1916	2657
419	1922	2654
420	1926	2649
421	1931	2645
422	1935	2639
423	1939	2635
424	1943	2628
425	1946	2623
426	1950	2617
427	1955	2613
428	1961	2610
429	1968	2609
430	1973	2605
431	1979	2602
432	1982	2595
433	1987	2591
434	1991	2587
435	1997	2583
436	2000	2577
437	2005	2573
438	2011	2570
439	2015	2565
440	2020	2561
441	2024	2555
442	2027	2549
443	2032	2544
444	2036	2539
445	2042	2536
446	2048	2533
447	2053	2530
448	2059	2526
449	2063	2521
450	2068	2517
451	2075	2515
452	2079	2510
453	2083	2506
454	2087	2500
455	2090	2494
456	2096	2490
457	2099	2484
458	2103	2479
459	2108	2474
460	2112	2469
461	2117	2466
462	2121	2460
463	2126	2456
464	2133	2454
465	2136	2448
466	2141	2443
467	2146	2440
468	2151	2435
469	2155	2430
470	2161	2427
471	2166	2423
472	2171	2419
473	2177	2416
474	2184	2413
475	2188	2409
476	2191	2403
477	2195	2397
478	2198	2391
479	2203	2386
480	2207	2382
481	2214	2379
482	2219	2375
483	2223	2370
484	2228	2366
485	2233	2362
486	2237	2356
487	2242	2352
488	2247	2348
489	2252	2344
490	2258	2341
491	2261	2335
492	2267	2332
493	2272	2328
494	2279	2325
495	2284	2320
496	2289	2317
497	2293	2312
498	2298	2308
499	2302	2302
500	2306	2297
501	2313	2295
502	2317	2290
503	2322	2285
504	2326	2280
505	2330	2275
506	2333	2269
507	2336	2263
508	2341	2258
509	2345	2253
510	2349	2248
511	2355	2244
512	2360	2241
513	2365	2236
514	2369	2231
515	2373	2226
516	2378	2222
517	2383	2217
518	2387	2212
519	2392	2208
520	2397	2203
521	2401	2198
522	2405	2193
523	2411	2190
524	2416	2185
525	2422	2183
526	2427	2179
527	2431	2173
528	2434	2167
529	2438	2162
530	2443	2158
531	2447	2153
532	2454	2150
533	2459	2146
534	2465	2143
535	2470	2138
536	2473	2132
537	2479	2129
538	2483	2124
539	2488	2119
540	2492	2114
541	2496	2109
542	2499	2103
543	2502	2097
544	2506	2092
545	2509	2086
546	2515	2083
547	2520	2079
548	2525	2074
549	2529	2069
550	2535	2066
551	2540	2061
552	2545	2057
553	2550	2053
554	2554	2047
555	2559	2043
556	2564	2039
557	2569	2034
558	2573	2030
559	2577	2025
560	2580	2019
561	2584	2013
562	2588	2009
563	2593	2004
564	2600	2001
565	2607	1999
566	2612	1995
567	2616	1989
568	2620	1984
569	2625	1980
570	2630	1976
571	2635	1971
572	2641	1968
573	2645	1963
574	2649	1958
575	2655	1955
576	2660	1950
577	2663	1944
578	2668	1940
579	2674	1936
580	2678	1931
581	2683	1927
582	2687	1922
583	2691	1917
584	2697	1913
585	2702	1909
586	2706	1904
587	2711	1899
588	2716	1895
589	2722	1891
590	2726	1887
591	2731	1882
592	2736	1877
593	2740	1873
594	2745	1868
595	2750	1864
596	2754	1859
597	2758	1854
598	2762	1849
599	2766	1844
600	2771	1840
601	2775	1835
602	2782	1832
603	2788	1828
604	2792	1823
605	2795	1817
606	2798	1812
607	2803	1807
608	2808	1803
609	2813	1798
610	2817	1793
611	2821	1788
612	2825	1783
613	2828	1778
614	2831	1772
615	2837	1768
616	2841	1763
617	2846	1759
618	2852	1755
619	2859	1752
620	2863	1747
621	2867	1742
622	2871	1737
623	2875	1732
624	2879	1727
625	2888	1725
626	2895	1722
627	2901	1718
628	2905	1713
629	2908	1708
630	2911	1702
631	2915	1697
632	2918	1691
633	2922	1687
634	2926	1682
635	2930	1677
636	2936	1673
637	2941	1669
638	2945	1663
639	2949	1659
640	2955	1654
641	2960	1651
642	2966	1646
643	2970	1642
644	2974	1637
645	2980	1633
646	2983	1628
647	2987	1622
648	2990	1617
649	2994	1612
650	3000	1608
651	3005	1604
652	3010	1599
653	3015	1595
654	3020	1590
655	3025	1586
656	3030	1582
657	3036	1578
658	3040	1573
659	3045	1568
660	3048	1563
661	3052	1558
662	3057	1554
663	3063	1550
664	3067	1545
665	3071	1540
666	3075	1535
667	3080	1530
668	3084	1526
669	3089	1521
670	3094	1517
671	3098	1512
672	3104	1508
673	3108	1503
674	3112	1498
675	3117	1494
676	3122	1489
677	3127	1485
678	3132	1480
679	3138	1476
680	3142	1471
681	3147	1467
682	3154	1463
683	3159	1459
684	3164	1455
685	3169	1450
686	3174	1446
687	3180	1442
688	3184	1437
689	3189	1432
690	3195	1428
691	3200	1424
692	3205	1420
693	3210	1415
694	3215	1411
695	3219	1406
696	3222	1401
697	3227	1396
698	3231	1391
699	3236	1386
700	3241	1382
701	3245	1377
702	3250	1373
703	3255	1368
704	3260	1364
705	3266	1360
706	3271	1355
707	3278	1352
708	3283	1347
709	3287	1342
710	3292	1338
711	3296	1333
712	3300	1328
713	3304	1323
714	3308	1318
715	3312	1313
716	3317	1309
717	3321	1304
718	3325	1299
719	3330	1295
720	3334	1290
721	3339	1285
722	3343	1281
723	3347	1276
724	3353	1272
725	3357	1267
726	3361	1262
727	3364	1257
728	3367	1251
729	3371	1247
730	3376	1242
731	3383	1238
732	3388	1234
733	3394	1230
734	3398	1225
735	3404	1221
736	3409	1216
737	3414	1212
738	3418	1207
739	3423	1202
740	3428	1198
741	3433	1193
742	3438	1189
743	3442	1184
744	3446	1179
745	3449	1174
746	3452	1169
747	3456	1164
748	3460	1159
749	3469	1156
750	3473	1151
751	3479	1147
752	3483	1142
753	3488	1138
754	3492	1133
755	3499	1129
756	3503	1124
757	3510	1120
758	3514	1115
759	3519	1111
760	3522	1106
761	3526	1101
762	3530	1096
763	3534	1091
764	3538	1087
765	3543	1082
766	3547	1077
767	3552	1073
768	3556	1068
769	3562	1063
770	3568	1059
771	3572	1054
772	3576	1050
773	3581	1045
774	3585	1041
775	3589	1036
776	3592	1031
777	3596	1026
778	3601	1021
779	3606	1017
780	3612	1013
781	3618	1008
782	3623	1004
783	3627	999
784	3630	994
785	3636	990
786	3641	985
787	3646	981
788	3650	976
789	3654	971
790	3658	966
791	3663	962
792	3667	957
793	3671	952
794	3676	948
795	3679	943
796	3685	938
797	3689	933
798	3695	929
799	3699	924
800	3703	920
801	3708	915
802	3714	911
803	3719	906
804	3724	902
805	3728	897
806	3733	892
807	3737	888
808	3742	883
809	3747	878
810	3750	874
811	3754	869
812	3757	864
813	3761	859
814	3766	854
815	3771	850
816	3777	846
817	3782	841
818	3788	837
819	3791	832
820	3796	827
821	3801	823
822	3806	818
823	3810	813
824	3815	809
825	3819	804
826	3825	800
827	3828	795
828	3832	790
829	3836	785
830	3839	780
831	3842	775
832	3846	771
833	3850	766
834	3854	761
835	3859	757
836	3863	752
837	3869	748
838	3874	743
839	3879	738
840	3886	734
841	3890	730
842	3895	725
843	3899	720
844	3903	716
845	3909	711
846	3912	706
847	3917	702
848	3920	697
849	3924	692
850	3929	688
851	3933	683
852	3939	678
853	3944	674
854	3948	669
855	3953	665
856	3958	660
857	3962	655
858	3967	651
859	3975	647
860	3980	642
861	3985	638
862	3989	633
863	3993	628
864	3996	623
865	4001	619
866	4004	614
867	4008	609
868	4013	604
869	4018	600
870	4024	595
871	4031	591
872	4035	587
873	4038	582
874	4043	577
875	4048	573
876	4054	568
877	4058	563
878	4062	559
879	4069	554
880	4073	550
881	4077	545
882	4081	540
883	4084	535
884	4088	531
885	4094	526
886	4099	522
887	4105	517
888	4109	513
889	4113	508
890	4118	503
891	4124	499
892	4129	494
893	4134	490
894	4139	485
895	4144	481
896	4150	476
897	4154	471
898	4157	467
899	4161	462
900	4164	457
901	4170	453
902	4175	448
903	4181	444
904	4186	439
905	4190	434
906	4194	430
907	4199	425
908	4205	421
909	4210	416
910	4215	411
911	4220	407
912	4224	402
913	4228	397
914	4233	393
915	4237	388
916	4244	384
917	4248	379
918	4254	375
919	4259	370
920	4264	365
921	4268	361
922	4275	356
923	4280	352
924	4284	347
925	4289	342
926	4293	338
927	4298	333
928	4304	328
929	4308	324
930	4311	319
931	4314	314
932	4318	310
933	4323	305
934	4329	301
935	4333	296
936	4340	291
937	4346	287
938	4352	282
939	4358	278
940	4362	273
941	4367	268
942	4372	264
943	4376	259
944	4381	254
945	4385	250
946	4389	245
947	4393	240
948	4396	236
949	4401	231
950	4405	227
951	4411	222
952	4416	217
953	4422	213
954	4426	208
955	4431	203
956	4436	199
957	4441	194
958	4445	190
959	4449	185
960	4454	180
961	4458	176
962	4464	171
963	4469	166
964	4475	162
965	4480	157
966	4484	153
967	4487	148
968	4491	143
969	4494	139
970	4499	134
971	4503	129
972	4510	125
973	4515	120
974	4520	115
975	4524	111
976	4529	106
977	4534	101
978	4538	97
979	4543	92
980	4547	88
981	4551	83
982	4556	78
983	4559	74
984	4564	69
985	4567	64
986	4572	60
987	4578	55
988	4583	50
989	4589	46
990	4592	41
991	4598	37
992	4602	32
993	4606	27
994	4610	23
995	4615	18
996	4620	13
997	4624	9
998	4630	4
999	4634	0
