iter	RMSE
0	0.9845940791
1	0.9616267915
2	0.9402768111
3	0.9174828579
4	0.8950572004
5	0.8710623678
6	0.8514374677
7	0.8334387486
8	0.8170195335
9	0.7944816358
10	0.7775412678
11	0.7635608745
12	0.7455347133
13	0.7312596
14	0.7154751525
15	0.699664114
16	0.6842384689
17	0.6690796625
18	0.6553632651
19	0.6411135577
20	0.6288264994
21	0.6145569794
22	0.6040568736
23	0.5935077345
24	0.5833851001
25	0.5738121445
26	0.5607646886
27	0.5483121225
28	0.5360877995
29	0.5233353843
30	0.5109549693
31	0.4994234439
32	0.4900415197
33	0.4782982263
34	0.4690058565
35	0.4590044452
36	0.4504360513
37	0.4420611835
38	0.4343926731
39	0.4254745459
40	0.4186515504
41	0.4113743226
42	0.4043563232
43	0.3983151442
44	0.3901564105
45	0.382153969
46	0.3741255707
47	0.367888169
48	0.3603075063
49	0.3536131863
50	0.3476462252
51	0.3446172432
52	0.3388856073
53	0.3344134391
54	0.331577171
55	0.3269877597
56	0.3210641706
57	0.3163913719
58	0.3109935273
59	0.3058306408
60	0.2999553267
61	0.2958303331
62	0.2909332958
63	0.2859999483
64	0.2839084607
65	0.2799087981
66	0.2751298948
67	0.2706476053
68	0.2684199854
69	0.2655986384
70	0.2629115961
71	0.2608363433
72	0.2563913828
73	0.2530020309
74	0.2493301885
75	0.245935429
76	0.243867312
77	0.2405118573
78	0.2387473117
79	0.2346846937
80	0.2331618121
81	0.2301936898
82	0.2263381228
83	0.224601726
84	0.2229796811
85	0.2216475131
86	0.2178965212
87	0.2167062088
88	0.2143352804
89	0.2120463388
90	0.2104939503
91	0.20690656
92	0.2048601782
93	0.2035576934
94	0.2022636526
95	0.2009211244
96	0.1997081872
97	0.1974078292
98	0.1962730092
99	0.1929983652
100	0.1916365821
101	0.190541102
102	0.1874032352
103	0.1854922882
104	0.1843945433
105	0.1824772272
106	0.1813943718
107	0.1790958499
108	0.1781823195
109	0.1766541214
110	0.1739561272
111	0.1730237908
112	0.170715759
113	0.1684195621
114	0.1657171121
115	0.1629221239
116	0.161008648
117	0.1601299924
118	0.1593367986
119	0.1572083125
120	0.156477046
121	0.1556194606
122	0.1549306857
123	0.1540742558
124	0.151572258
125	0.1500333669
126	0.14806422
127	0.1457082831
128	0.1432805635
129	0.1425190106
130	0.1405786065
131	0.1382286239
132	0.1376472475
133	0.137048023
134	0.1353216475
135	0.1347190128
136	0.1338503669
137	0.1331388544
138	0.1325634808
139	0.1309301889
140	0.129044109
141	0.1285251037
142	0.1272652548
143	0.126741567
144	0.1254003997
145	0.1237412916
146	0.1232608775
147	0.1219869147
148	0.1201375775
149	0.1196305516
150	0.1191727084
151	0.1181188644
152	0.1177031076
153	0.1166081322
154	0.1150977496
155	0.1135722826
156	0.1123472176
157	0.1109246808
158	0.1093511566
159	0.1078052628
160	0.1065056052
161	0.1056791569
162	0.1053598933
163	0.1050177624
164	0.1039466831
165	0.1025249596
166	0.1021373949
167	0.100876717
168	0.1005282644
169	0.09932157691
170	0.09841692809
171	0.09709017875
172	0.09674126524
173	0.09641625147
174	0.09510312707
175	0.09479703622
176	0.09450758869
177	0.09424983782
178	0.09301227987
179	0.09213100931
180	0.09110500322
181	0.09081659083
182	0.0895861969
183	0.08933953291
184	0.08834150581
185	0.08811142938
186	0.08789830521
187	0.0867855974
188	0.08653592102
189	0.08631778346
190	0.08524330112
191	0.0841849542
192	0.08399693057
193	0.08295662506
194	0.08211322094
195	0.08131365899
196	0.08110931053
197	0.08090391576
198	0.07988663599
199	0.07969341182
200	0.07950761399
201	0.07849161498
202	0.07773612812
203	0.07684478464
204	0.07612320204
205	0.07595817543
206	0.0752402744
207	0.07502814431
208	0.07411100979
209	0.07394853368
210	0.07307596443
211	0.07292735925
212	0.07226657735
213	0.07212365344
214	0.07133057658
215	0.07069579956
216	0.06988310343
217	0.06925578469
218	0.06911709159
219	0.06848058093
220	0.06778388292
221	0.0670224815
222	0.06680438165
223	0.06668096216
224	0.06656073589
225	0.0658978054
226	0.06577303503
227	0.06507058163
228	0.06449483746
229	0.06438500543
230	0.06372935692
231	0.06312280797
232	0.0625447461
233	0.06186354102
234	0.06132725269
235	0.06070829551
236	0.06013904667
237	0.06005050641
238	0.05996515971
239	0.05988289195
240	0.05979452029
241	0.05971788942
242	0.05910253961
243	0.05853567023
244	0.05803695871
245	0.05744701181
246	0.05696676354
247	0.056494331
248	0.05599819601
249	0.0555424854
250	0.05506579408
251	0.05498754257
252	0.05444283446
253	0.05393980173
254	0.05348466538
255	0.0530466815
256	0.05256988853
257	0.05248932561
258	0.0519851829
259	0.05157319057
260	0.0515032247
261	0.05105986742
262	0.05098494024
263	0.05091894895
264	0.0505173011
265	0.05044654868
266	0.04995370881
267	0.04954614624
268	0.04914651619
269	0.04873641446
270	0.04867000678
271	0.04830913732
272	0.04792766339
273	0.04749310642
274	0.04714230208
275	0.04708016501
276	0.04663755677
277	0.04657802052
278	0.0462404379
279	0.04599263229
280	0.04566247957
281	0.0456064153
282	0.04511566607
283	0.04478702459
284	0.04452293543
285	0.04416745684
286	0.04381569068
287	0.04350697883
288	0.04318274346
289	0.04272915591
290	0.04248908558
291	0.04209577189
292	0.04167348632
293	0.04162792614
